HGHT,TEMP,PRES,RELH,DRCT,SPED,DATE,TIME
1150,33,947.4,14,175,2.2,2023-02-05,00:00:01
1163,31.7,946,16,320,1.9,2023-02-12,00:00:02
1172,31.9,945,16,326,2.9,2023-03-22,00:00:03
1179,32,944.3,16,327,3.4,2023-12-18,00:00:04
1184,32.2,943.8,16,327,3.6,2023-09-30,00:00:05
1188,32.4,943.4,15,327,3.8,2023-02-03,00:00:06
1192,32.5,943,15,328,4,2023-10-05,00:00:07
1196,32.7,942.5,15,328,4.3,2023-02-15,00:00:08
1200,32.9,942.1,14,328,4.6,2023-03-21,00:00:09
1205,33,941.6,14,328,4.8,2023-08-16,00:00:10
1209,33,941.2,14,329,5.1,2023-01-18,00:00:11
1214,33.1,940.7,14,329,5.4,2023-06-08,00:00:12
1219,33.2,940.1,14,329,5.6,2023-05-14,00:00:13
1224,33.3,939.6,13,329,5.9,2023-04-30,00:00:14
1229,33.4,939.1,13,329,6.1,2023-08-15,00:00:15
1233,33.5,938.6,13,329,6.3,2023-03-27,00:00:16
1238,33.6,938.2,13,330,6.6,2023-08-04,00:00:17
1243,33.7,937.7,13,330,6.8,2023-09-27,00:00:18
1248,33.8,937.1,12,330,7,2023-10-14,00:00:19
1253,33.9,936.6,12,330,7.1,2023-01-28,00:00:20
1259,34,936,12,330,7.3,2023-04-02,00:00:21
1264,34.1,935.4,12,330,7.5,2023-08-24,00:00:22
1270,34.1,934.8,12,330,7.6,2023-08-24,00:00:23
1275,34.1,934.2,11,330,7.8,2023-09-02,00:00:24
1282,34.1,933.6,11,330,7.9,2023-10-26,00:00:25
1287,34.1,933,11,330,8,2023-02-27,00:00:26
1293,34,932.4,11,330,8.1,2023-01-13,00:00:27
1299,34,931.8,11,330,8.2,2023-12-25,00:00:28
1305,33.9,931.2,11,330,8.3,2023-06-21,00:00:29
1310,33.9,930.7,12,330,8.4,2023-04-15,00:00:30
1314,33.9,930.3,12,330,8.5,2023-02-10,00:00:31
1317,33.9,929.9,12,330,8.5,2023-02-18,00:00:32
1321,33.8,929.6,12,330,8.6,2023-07-05,00:00:33
1324,33.8,929.2,11,330,8.6,2023-09-12,00:00:34
1329,33.8,928.7,1,330,8.7,2023-11-27,00:00:35
1333,33.7,928.3,1,329,8.7,2023-10-08,00:00:36
1338,33.7,927.8,1,329,8.7,2023-02-11,00:00:37
1342,33.7,927.3,1,329,8.8,2023-08-31,00:00:38
1347,33.6,926.9,1,329,8.8,2023-03-10,00:00:39
1351,33.6,926.4,1,329,8.8,2023-03-22,00:00:40
1356,33.6,925.9,1,329,8.8,2023-03-07,00:00:41
1362,33.5,925.3,1,329,8.8,2023-09-10,00:00:42
1368,33.5,924.7,1,329,8.8,2023-10-20,00:00:43
1373,33.4,924.1,1,329,8.8,2023-05-24,00:00:44
1378,33.4,923.7,1,329,8.8,2023-01-08,00:00:45
1381,33.3,923.3,1,329,8.8,2023-06-17,00:00:46
1385,33.3,922.9,1,329,8.8,2023-09-04,00:00:47
1389,33.3,922.5,1,329,8.8,2023-01-17,00:00:48
1394,33.2,922,1,329,8.7,2023-02-06,00:00:49
1399,33.2,921.5,1,328,8.7,2023-09-04,00:00:50
1403,33.1,921.1,1,328,8.7,2023-12-16,00:00:51
1407,33.1,920.6,1,328,8.7,2023-02-05,00:00:52
1412,33.1,920.1,1,328,8.6,2023-07-21,00:00:53
1417,33,919.6,1,328,8.6,2023-03-30,00:00:54
1423,33,919.1,1,328,8.6,2023-04-20,00:00:55
1427,32.9,918.6,1,328,8.5,2023-03-24,00:00:56
1431,32.9,918.2,1,328,8.5,2023-07-04,00:00:57
1434,32.9,917.9,1,328,8.5,2023-07-03,00:00:58
1438,32.8,917.5,1,328,8.4,2023-08-28,00:00:59
1441,32.8,917.1,1,328,8.4,2023-08-24,00:01:00
1445,32.8,916.8,1,328,8.4,2023-03-03,00:01:01
1449,32.7,916.4,1,328,8.4,2023-09-25,00:01:02
1452,32.7,916,1,328,8.3,2023-09-11,00:01:03
1456,32.7,915.6,2,328,8.3,2023-04-25,00:01:04
1460,32.6,915.3,4,328,8.3,2023-08-11,00:01:05
1463,32.6,914.9,6,328,8.3,2023-06-26,00:01:06
1467,32.6,914.5,8,328,8.3,2023-05-31,00:01:07
1471,32.5,914.1,9,329,8.3,2023-09-17,00:01:08
1474,32.5,913.8,10,329,8.2,2023-10-11,00:01:09
